diskon,merek,deskripsi,harga,telah_diriview_sebanyak
 35% ,Maybelline, Superstay Matte Ink Un-Nude Liquid Lipstick , Rp 132.500 ,"(3,4k)"
 25% ,Cetaphil, Gentle Skin Cleanser , Rp 63.736 - Rp 468.600 ,"(15,5k)"
,Garnier, Sakura Night Cream , Rp 38.000 - Rp 98.000 ,"(1,4k)"
,Garnier, Micellar Water Biphase , Rp 28.500 - Rp 147.000 ,"(7,8k)"
 30% ,COSRX, Salicylic Acid Daily Gentle Cleanser , Rp 155.000 ,"(6,1k)"
,Mediheal, Vita Essential Mask , Rp 29.900 ,(2k)
 10% ,Biore, Makeup Remover Perfect Cleansing Water Soften Up , Rp 29.200 - Rp 71.100 ,"(1,5k)"
 36% ,Votre Peau, Vitamin C Serum , Rp 265.000 ,(420)
 33% ,The Bath Box, Goats Don't Lie - Original , Rp 129.000 - Rp 199.000 ,(516)
,BLP Beauty, Face Powder 10 gr ,,"(2,4k)"
 35% ,Maybelline, Maybelline Fit Me Concealer , Rp 135.000 ,"(5,1k)"
,Maybelline, Instant Age Rewinder Concealer , Rp 133.700 - Rp 155.000 ,(3k)
 35% ,Goban, Black Diamond Ultra Waterproof Liquid Eyeliner , Rp 119.000 ,"(1,5k)"
 35% ,Maybelline, Volum Express Hyper Curl Mascara , Rp 97.750 ,"(7,2k)"
 35% ,Loreal Paris, Volume Lash Paradise , Rp 190.000 ,"(3,3k)"
,BLP Beauty, Lip Coat ,,"(5,1k)"
 35% ,Maybelline, Superstay Matte Ink , Rp 132.500 ,"(4,8k)"
 45% ,Pyunkang Yul, Cleansing Foam , Rp 180.000 ,(292)
 35% ,Sukin, Blemish Control Clearing Facial Wash , Rp 189.000 ,(378)
 15% ,Biore, Cleansing Oil , Rp 103.400 ,"(3,3k)"
 45% ,HEIMISH, All Clean Balm , Rp 330.000 ,"(1,9k)"
 30% ,COSRX, Advanced Snail Mucin 96 Power Essence , Rp 275.000 ,(11k)
 20% ,Haple, Pure Rose Water , Rp 49.000 - Rp 97.500 ,"(1,9k)"
,Loreal Paris, Revitalift Crystal Micro Essence Skin Care , Rp 190.000 - Rp 326.000 ,"(4,2k)"
 30% ,COSRX, Galactomyces 95 Tone Balancing Essence , Rp 299.000 ,(904)
 30% ,COSRX, Hyaluronic Acid Intensive Cream , Rp 299.000 ,(938)
 45% ,Benton, Aloe Propolis Soothing Gel , Rp 80.000 - Rp 270.000 ,"(2,7k)"
 35% ,Neutrogena, Hydro Boost Hyaluronic Acid Water Gel , Rp 271.500 ,"(1,1k)"
 25% ,Mediheal, Mediheal Aloe Vera Hydrogel (92%) , Rp 79.000 ,"(1,9k)"
 20% ,Garnier, Garnier Hydrabomb Serum Mask , Rp 23.500 ,"(5,5k)"
 45% ,Pyunkang Yul, Essence Toner , Rp 80.000 - Rp 310.000 ,"(8,3k)"
 60% ,essenHerb, EssenHerb Tea Tree Toner , Rp 255.000 ,"(1,3k)"
 22% ,Nivea, Sun Face Protection Serum Spf 50+ Pa +++ - Oil Control , Rp 70.200 ,"(3,8k)"
,Mediheal, THE H.P.A Glowing Ampoule Mask , Rp 29.900 ,"(2,8k)"
,Lacoco, 2% Watermelon Glow Mask , Rp 120.000 - Rp 250.000 ,"(1,4k)"
 26% ,Holika Holika, Makgeolli Brightening Mask Sheet , Rp 22.000 ,(171)
 25% ,Mediheal, N.M.F Aquaring Nude Gel Mask , Rp 49.900 ,(146)
 60% ,Missha, Airy Fit Sheet Mask Rice , Rp 34.500 ,"(1,6k)"
 60% ,Missha, Airy Fit Sheet Mask Pomegranate , Rp 34.500 ,"(1,2k)"
 55% ,Missha, Airy Fit Sheet Mask Tea Tree , Rp 34.500 ,"(1,2k)"
 60% ,Missha, Airy Fit Sheet Mask Honey , Rp 34.500 ,"(1,2k)"
 26% ,Holika Holika, Pure Essence Mask Sheet , Rp 22.000 - Rp 28.000 ,"(1,1k)"
 20% ,Garnier, Garnier Hydrabomb Serum Mask Grapeseed Extract , Rp 23.500 ,(793)
 25% ,Mediheal, P:EP Proatin Mask , Rp 29.900 ,(240)
 35% ,COSRX, Centella Blemish Cream , Rp 299.000 ,(2k)
 20% ,COSRX, Acne Pimple Master Patch , Rp 59.000 ,"(5,1k)"
 20% ,COSRX, Clear Fit Master Patch , Rp 59.000 ,"(1,2k)"
 18% ,Biore, Biore UV Aqua Rich Watery Essence SPF 50+/PA+++ , Rp 122.800 ,"(9,5k)"
 18% ,Biore, UV Aqua Rich Watery Gel Sunscreen Skin Care SPF 50 PA++++ , Rp 136.500 ,(617)
 26% ,Holika Holika, Aloe 99% Soothing Gel (Fresh Moisturizing) , Rp 78.000 - Rp 208.000 ,(280)
